KindOfOperation,KindOfSpace,RoomsAmount,LocationRating,Size,Price,Standard,Floor,City,UserRoomsAmount,UserPrice,UserStandard,UserLocationRating,IsGoodOfert
K,M,4.00,4.00,76.00,183859.20,3.00,1.00,Szczecin,1.00,251274.24,2.00,0.00,1
K,M,1.00,3.00,22.00,14636.16,4.00,0.00,£ódŸ,0.00,20845.44,1.00,2.00,1
K,M,3.00,2.00,63.00,117482.40,5.00,9.00,Szczecin,2.00,130183.20,2.00,1.00,1
K,M,5.00,2.00,90.00,158760.00,3.00,9.00,Poznañ,3.00,181440.00,0.00,1.00,1
K,M,2.00,5.00,38.00,95760.00,5.00,10.00,Bydgoszcz,1.00,156408.00,4.00,2.00,1
W,M,5.00,5.00,105.00,44100.00,5.00,1.00,Poznañ,1.00,88200.00,3.00,2.00,1
K,M,2.00,2.00,36.00,30965.76,4.00,2.00,Lublin,0.00,32901.12,1.00,1.00,1
W,M,5.00,5.00,110.00,36960.00,4.00,7.00,Lublin,4.00,73920.00,1.00,4.00,1
K,M,3.00,3.00,66.00,219542.40,5.00,4.00,Lublin,1.00,229521.60,3.00,1.00,1
W,M,4.00,4.00,72.00,19353.60,5.00,5.00,£ódŸ,0.00,38707.20,0.00,3.00,1
K,M,5.00,5.00,100.00,976500.00,5.00,10.00,Wroc³aw,4.00,1039500.00,2.00,4.00,1
W,M,5.00,4.00,105.00,35280.00,5.00,3.00,Szczecin,2.00,52920.00,2.00,3.00,1
W,M,4.00,5.00,76.00,38304.00,5.00,5.00,Kraków,2.00,51072.00,2.00,3.00,1
K,M,4.00,5.00,76.00,474969.60,4.00,6.00,Gdañsk,1.00,750758.40,0.00,3.00,1
K,M,4.00,2.00,88.00,179773.44,4.00,6.00,Lublin,3.00,212889.60,0.00,1.00,1
K,M,2.00,2.00,38.00,47496.96,4.00,9.00,Kraków,0.00,76608.00,1.00,1.00,1
W,M,4.00,2.00,72.00,14515.20,5.00,1.00,Wroc³aw,2.00,19353.60,0.00,0.00,1
W,M,4.00,1.00,88.00,4730.88,4.00,7.00,Warszawa,3.00,7096.32,1.00,0.00,1
K,M,2.00,5.00,40.00,115315.20,4.00,8.00,Bia³ystok,0.00,122304.00,1.00,2.00,1
K,M,4.00,5.00,72.00,220147.20,2.00,9.00,Bia³ystok,1.00,314496.00,0.00,3.00,1
K,M,4.00,3.00,72.00,156764.16,2.00,5.00,Gdañsk,0.00,209018.88,0.00,1.00,1
K,M,4.00,4.00,84.00,513676.80,5.00,2.00,Bia³ystok,2.00,719147.52,0.00,1.00,1
W,M,3.00,3.00,63.00,7620.48,4.00,2.00,Szczecin,2.00,11430.72,0.00,2.00,1
W,M,5.00,5.00,90.00,22680.00,2.00,7.00,Kraków,2.00,30240.00,1.00,2.00,1
W,M,4.00,4.00,76.00,12257.28,3.00,5.00,Kraków,0.00,18385.92,0.00,2.00,1
K,M,4.00,4.00,80.00,206438.40,3.00,2.00,Lublin,2.00,238694.40,0.00,3.00,1
K,M,3.00,5.00,66.00,220540.32,3.00,0.00,Bia³ystok,2.00,227026.80,1.00,1.00,1
W,M,5.00,5.00,105.00,26460.00,3.00,4.00,Bydgoszcz,0.00,52920.00,0.00,1.00,1
W,M,4.00,5.00,72.00,24192.00,5.00,6.00,Lublin,2.00,36288.00,3.00,4.00,1
W,M,3.00,4.00,66.00,10644.48,4.00,7.00,£ódŸ,1.00,15966.72,1.00,0.00,1
K,M,1.00,5.00,21.00,13053.60,2.00,2.00,£ódŸ,0.00,17640.00,1.00,3.00,1
W,M,4.00,4.00,84.00,13547.52,3.00,8.00,Bia³ystok,0.00,20321.28,1.00,2.00,1
W,M,3.00,4.00,66.00,13305.60,5.00,3.00,£ódŸ,2.00,26611.20,2.00,3.00,1
W,M,5.00,3.00,95.00,19152.00,4.00,10.00,Poznañ,0.00,28728.00,3.00,1.00,1
W,M,3.00,4.00,66.00,2661.12,1.00,8.00,Kraków,0.00,5322.24,0.00,2.00,1
K,M,2.00,5.00,40.00,110880.00,5.00,7.00,Szczecin,0.00,114240.00,3.00,4.00,1
K,M,4.00,1.00,88.00,168537.60,5.00,3.00,Kraków,0.00,177408.00,2.00,0.00,1
W,M,2.00,4.00,42.00,3386.88,3.00,7.00,£ódŸ,1.00,5080.32,1.00,3.00,1
W,M,5.00,2.00,105.00,14112.00,4.00,10.00,Warszawa,4.00,21168.00,0.00,1.00,1
W,M,5.00,4.00,95.00,25536.00,4.00,5.00,Gdañsk,0.00,51072.00,2.00,0.00,1
K,M,2.00,4.00,36.00,95800.32,4.00,5.00,Wroc³aw,1.00,133539.84,2.00,0.00,1
W,M,5.00,4.00,100.00,50400.00,5.00,0.00,Szczecin,3.00,67200.00,3.00,0.00,1
K,M,4.00,4.00,72.00,396748.80,5.00,8.00,Poznañ,2.00,425779.20,0.00,0.00,1
K,M,5.00,5.00,100.00,693000.00,5.00,6.00,Poznañ,1.00,924000.00,4.00,4.00,1
W,M,2.00,5.00,40.00,5376.00,4.00,10.00,Lublin,1.00,10752.00,1.00,2.00,1
K,M,5.00,5.00,90.00,1077300.00,5.00,9.00,Kraków,0.00,1105650.00,2.00,4.00,1
K,M,5.00,5.00,105.00,871416.00,4.00,5.00,Bia³ystok,4.00,1054872.00,0.00,4.00,1
W,M,2.00,1.00,38.00,255.36,1.00,3.00,£ódŸ,0.00,510.72,0.00,0.00,1
W,M,5.00,5.00,100.00,33600.00,4.00,3.00,Gdañsk,1.00,67200.00,3.00,0.00,1
W,M,5.00,4.00,105.00,28224.00,4.00,1.00,Bia³ystok,0.00,42336.00,2.00,0.00,1
W,M,5.00,2.00,105.00,10584.00,2.00,8.00,Kraków,3.00,14112.00,1.00,1.00,1
K,M,5.00,2.00,95.00,383040.00,5.00,3.00,Gdañsk,0.00,502740.00,3.00,0.00,1
K,M,5.00,4.00,110.00,646800.00,5.00,1.00,Lublin,0.00,868560.00,0.00,3.00,1
K,M,5.00,4.00,95.00,446880.00,2.00,6.00,Warszawa,2.00,523488.00,0.00,1.00,1
W,M,4.00,4.00,80.00,21504.00,5.00,8.00,Bydgoszcz,2.00,43008.00,3.00,1.00,1
W,M,2.00,5.00,44.00,5913.60,4.00,4.00,Warszawa,0.00,8870.40,3.00,3.00,1
W,M,1.00,5.00,25.00,840.00,2.00,9.00,Poznañ,0.00,1260.00,1.00,3.00,1
K,M,4.00,4.00,76.00,183859.20,3.00,4.00,£ódŸ,3.00,275788.80,1.00,0.00,1
K,M,3.00,5.00,60.00,271252.80,3.00,2.00,Bia³ystok,1.00,294840.00,1.00,3.00,1
K,M,4.00,4.00,72.00,59996.16,1.00,10.00,Lublin,0.00,65802.24,0.00,0.00,1
W,M,1.00,1.00,24.00,483.84,4.00,1.00,Gdañsk,0.00,645.12,3.00,0.00,1
W,M,5.00,4.00,100.00,33600.00,5.00,1.00,£ódŸ,4.00,50400.00,1.00,2.00,1
K,M,5.00,5.00,105.00,779688.00,4.00,6.00,Bia³ystok,3.00,1146600.00,2.00,3.00,1
K,M,3.00,4.00,60.00,290304.00,4.00,6.00,Kraków,2.00,355622.40,1.00,3.00,1
K,M,1.00,5.00,22.00,22915.20,4.00,3.00,Lublin,0.00,30307.20,2.00,1.00,1
W,M,5.00,5.00,105.00,44100.00,5.00,3.00,Poznañ,2.00,66150.00,3.00,4.00,1
W,M,4.00,1.00,72.00,5806.08,4.00,9.00,Wroc³aw,3.00,7741.44,0.00,0.00,1
W,M,3.00,4.00,63.00,12700.80,5.00,2.00,£ódŸ,2.00,25401.60,2.00,2.00,1
K,M,5.00,3.00,90.00,272160.00,4.00,2.00,Lublin,4.00,326592.00,1.00,0.00,1
K,M,5.00,2.00,95.00,105336.00,2.00,8.00,Poznañ,0.00,146832.00,0.00,0.00,1
W,M,2.00,5.00,38.00,9576.00,5.00,8.00,Kraków,1.00,12768.00,3.00,4.00,1
W,M,5.00,5.00,105.00,66150.00,5.00,4.00,Szczecin,3.00,88200.00,4.00,1.00,1
K,M,5.00,5.00,90.00,878850.00,5.00,10.00,Wroc³aw,2.00,1247400.00,1.00,2.00,1
K,M,3.00,4.00,54.00,249080.83,4.00,6.00,Bia³ystok,0.00,260402.69,2.00,2.00,1
W,M,4.00,4.00,72.00,11612.16,2.00,2.00,£ódŸ,1.00,15482.88,0.00,3.00,1
K,M,3.00,4.00,66.00,361912.32,4.00,9.00,Warszawa,2.00,383201.28,0.00,3.00,1
W,M,5.00,1.00,90.00,6048.00,4.00,3.00,Bia³ystok,2.00,9072.00,1.00,0.00,1
W,M,5.00,4.00,105.00,21168.00,2.00,5.00,£ódŸ,2.00,28224.00,0.00,2.00,1
W,M,4.00,3.00,88.00,7096.32,2.00,1.00,Bia³ystok,1.00,10644.48,1.00,1.00,1
K,M,3.00,3.00,60.00,89812.80,3.00,0.00,Poznañ,2.00,95256.00,2.00,0.00,1
W,M,3.00,5.00,63.00,19051.20,4.00,4.00,Wroc³aw,0.00,25401.60,1.00,1.00,1
W,M,2.00,5.00,44.00,4435.20,3.00,7.00,Wroc³aw,0.00,6652.80,0.00,4.00,1
K,M,5.00,4.00,95.00,316008.00,3.00,1.00,£ódŸ,2.00,363888.00,1.00,3.00,1
K,M,5.00,4.00,105.00,804384.00,4.00,0.00,Kraków,2.00,867888.00,1.00,1.00,1
W,M,3.00,4.00,60.00,18144.00,5.00,7.00,Gdañsk,2.00,24192.00,3.00,3.00,1
W,M,3.00,3.00,54.00,4898.88,3.00,0.00,Wroc³aw,2.00,9797.76,0.00,0.00,1
W,M,3.00,4.00,63.00,5080.32,2.00,3.00,Wroc³aw,2.00,10160.64,1.00,0.00,1
W,M,3.00,3.00,60.00,7257.60,4.00,3.00,Lublin,0.00,10886.40,0.00,0.00,1
W,M,5.00,5.00,90.00,37800.00,5.00,2.00,Wroc³aw,0.00,56700.00,4.00,1.00,1
K,M,5.00,4.00,100.00,430080.00,4.00,7.00,Lublin,0.00,456960.00,0.00,1.00,1
W,M,5.00,4.00,90.00,36288.00,4.00,4.00,Wroc³aw,3.00,48384.00,3.00,2.00,1
K,M,4.00,2.00,72.00,36771.84,1.00,7.00,Lublin,0.00,44513.28,0.00,1.00,1
K,M,4.00,4.00,84.00,108380.16,1.00,7.00,Kraków,2.00,149022.72,0.00,3.00,1
W,M,3.00,5.00,60.00,15120.00,5.00,10.00,£ódŸ,0.00,30240.00,0.00,0.00,1
K,M,3.00,5.00,63.00,171460.80,3.00,5.00,Poznañ,2.00,185749.20,2.00,1.00,1
K,M,5.00,3.00,90.00,281232.00,2.00,4.00,Warszawa,4.00,317520.00,0.00,0.00,1
K,M,4.00,3.00,80.00,266112.00,5.00,10.00,Poznañ,1.00,370944.00,3.00,2.00,1
W,M,4.00,2.00,80.00,4300.80,2.00,9.00,£ódŸ,2.00,6451.20,1.00,1.00,1
K,M,3.00,5.00,54.00,435456.00,5.00,7.00,Warszawa,0.00,598752.00,4.00,2.00,1
K,M,3.00,3.00,60.00,226437.12,4.00,3.00,Bia³ystok,0.00,235872.00,2.00,0.00,1
W,M,4.00,3.00,76.00,18385.92,4.00,9.00,Gdañsk,2.00,24514.56,2.00,0.00,1
W,M,3.00,4.00,57.00,9192.96,4.00,4.00,£ódŸ,1.00,13789.44,0.00,0.00,1
K,M,3.00,5.00,63.00,319901.40,5.00,7.00,Bia³ystok,2.00,412776.00,1.00,0.00,1
K,M,5.00,5.00,105.00,1552320.00,4.00,8.00,Warszawa,3.00,1622880.00,1.00,2.00,1
K,M,4.00,5.00,88.00,354816.00,4.00,5.00,Bydgoszcz,1.00,508569.60,2.00,0.00,1
W,M,5.00,4.00,90.00,24192.00,4.00,2.00,£ódŸ,4.00,36288.00,0.00,2.00,1
W,M,5.00,2.00,110.00,7392.00,2.00,7.00,Lublin,3.00,11088.00,0.00,1.00,1
K,M,4.00,4.00,72.00,329011.20,5.00,9.00,£ódŸ,3.00,483840.00,4.00,1.00,1
W,M,2.00,5.00,44.00,11088.00,5.00,8.00,Poznañ,0.00,14784.00,0.00,1.00,1
W,M,5.00,4.00,110.00,29568.00,4.00,0.00,Gdañsk,2.00,59136.00,2.00,2.00,1
W,M,1.00,5.00,23.00,1932.00,5.00,9.00,Lublin,0.00,2898.00,1.00,3.00,1
W,M,3.00,5.00,66.00,9979.20,2.00,2.00,£ódŸ,0.00,13305.60,0.00,0.00,1
W,M,4.00,4.00,88.00,18923.52,4.00,9.00,Warszawa,0.00,37847.04,3.00,2.00,1
K,M,2.00,4.00,42.00,81285.12,4.00,7.00,Lublin,0.00,85800.96,3.00,1.00,1
W,M,3.00,1.00,66.00,2661.12,4.00,8.00,Warszawa,1.00,5322.24,0.00,0.00,1
K,M,5.00,5.00,105.00,1199520.00,4.00,6.00,Warszawa,1.00,1587600.00,3.00,0.00,1
W,M,4.00,5.00,76.00,15321.60,3.00,9.00,Kraków,1.00,30643.20,0.00,2.00,1
K,M,5.00,5.00,105.00,529200.00,4.00,1.00,£ódŸ,3.00,617400.00,0.00,4.00,1
K,M,2.00,5.00,36.00,36288.00,2.00,1.00,Lublin,0.00,42336.00,1.00,4.00,1
W,M,5.00,4.00,100.00,20160.00,3.00,7.00,Wroc³aw,3.00,40320.00,0.00,0.00,1
K,M,3.00,4.00,63.00,91445.76,2.00,0.00,Szczecin,2.00,116847.36,0.00,0.00,1
K,M,3.00,2.00,60.00,176904.00,5.00,7.00,Kraków,2.00,204120.00,4.00,0.00,1
W,M,5.00,3.00,90.00,27216.00,4.00,0.00,Kraków,3.00,36288.00,3.00,0.00,1
W,M,5.00,4.00,110.00,22176.00,3.00,1.00,Lublin,2.00,33264.00,2.00,0.00,1
W,M,5.00,5.00,90.00,37800.00,5.00,3.00,Bia³ystok,2.00,56700.00,3.00,1.00,1
W,M,5.00,5.00,110.00,46200.00,5.00,5.00,Gdañsk,3.00,92400.00,4.00,4.00,1
K,M,3.00,5.00,66.00,116424.00,2.00,9.00,Lublin,0.00,139708.80,0.00,2.00,1
W,M,5.00,5.00,90.00,45360.00,4.00,3.00,Poznañ,4.00,60480.00,0.00,1.00,1
W,M,5.00,3.00,90.00,18144.00,4.00,0.00,Bia³ystok,2.00,36288.00,3.00,0.00,1
W,M,2.00,1.00,38.00,1149.12,3.00,4.00,Wroc³aw,0.00,1532.16,1.00,0.00,1
K,M,4.00,3.00,84.00,317011.97,4.00,0.00,Bia³ystok,3.00,431488.51,2.00,1.00,1
K,M,3.00,4.00,63.00,438177.60,5.00,1.00,Kraków,0.00,466754.40,1.00,0.00,1
K,M,3.00,3.00,60.00,127008.00,4.00,0.00,Bydgoszcz,0.00,177811.20,2.00,2.00,1
K,M,5.00,3.00,90.00,462672.00,3.00,2.00,Warszawa,2.00,571536.00,1.00,2.00,1
W,M,5.00,4.00,100.00,40320.00,4.00,0.00,Gdañsk,3.00,53760.00,2.00,2.00,1
K,M,4.00,5.00,88.00,576576.00,5.00,9.00,Bydgoszcz,2.00,635712.00,0.00,1.00,1
K,M,3.00,2.00,66.00,90478.08,4.00,4.00,Bydgoszcz,2.00,103783.68,0.00,0.00,1
K,M,4.00,4.00,84.00,76769.28,1.00,3.00,Poznañ,3.00,90316.80,0.00,3.00,1
W,M,5.00,5.00,90.00,37800.00,5.00,0.00,Warszawa,1.00,56700.00,3.00,2.00,1
K,M,3.00,5.00,63.00,254016.00,5.00,4.00,Lublin,2.00,285768.00,0.00,3.00,1
K,M,1.00,5.00,22.00,5913.60,1.00,6.00,Poznañ,0.00,6837.60,0.00,2.00,1
W,M,5.00,3.00,100.00,25200.00,5.00,8.00,Wroc³aw,4.00,37800.00,0.00,2.00,1
K,M,4.00,4.00,88.00,340623.36,3.00,5.00,Lublin,3.00,354816.00,0.00,1.00,1
K,M,5.00,2.00,95.00,215460.00,3.00,10.00,Kraków,1.00,237006.00,0.00,0.00,1
W,M,4.00,2.00,76.00,8171.52,4.00,9.00,£ódŸ,3.00,16343.04,3.00,0.00,1
W,M,5.00,3.00,100.00,30240.00,4.00,9.00,Lublin,1.00,40320.00,0.00,2.00,1
W,M,5.00,3.00,90.00,34020.00,5.00,7.00,Bia³ystok,0.00,45360.00,3.00,0.00,1
W,M,5.00,5.00,90.00,37800.00,5.00,1.00,Bydgoszcz,1.00,56700.00,0.00,1.00,1
K,M,4.00,3.00,80.00,183859.20,3.00,1.00,Poznañ,0.00,241920.00,0.00,1.00,1
W,M,5.00,5.00,100.00,16800.00,2.00,10.00,Kraków,0.00,25200.00,0.00,2.00,1
K,M,3.00,4.00,63.00,152409.60,3.00,10.00,Lublin,1.00,179081.28,1.00,2.00,1
K,M,3.00,5.00,54.00,103420.80,2.00,8.00,Lublin,1.00,133358.40,1.00,0.00,1
W,M,1.00,5.00,24.00,2016.00,5.00,1.00,Bia³ystok,0.00,4032.00,1.00,0.00,1
W,M,4.00,5.00,84.00,5644.80,1.00,0.00,Lublin,0.00,8467.20,0.00,0.00,1
W,M,5.00,4.00,100.00,33600.00,5.00,3.00,Bydgoszcz,1.00,67200.00,2.00,3.00,1
W,M,5.00,3.00,90.00,18144.00,4.00,7.00,Lublin,0.00,27216.00,1.00,1.00,1
K,M,4.00,3.00,88.00,404490.24,4.00,2.00,Wroc³aw,0.00,425779.20,0.00,1.00,1
W,M,2.00,3.00,40.00,6048.00,5.00,9.00,£ódŸ,1.00,8064.00,1.00,1.00,1
K,M,3.00,4.00,63.00,354987.36,5.00,7.00,Bia³ystok,1.00,404520.48,1.00,0.00,1
K,M,4.00,5.00,72.00,290304.00,4.00,0.00,Bydgoszcz,0.00,406425.60,2.00,3.00,1
K,M,3.00,4.00,63.00,558835.20,5.00,7.00,Warszawa,1.00,622339.20,3.00,1.00,1
K,M,5.00,3.00,95.00,354312.00,4.00,4.00,£ódŸ,2.00,450072.00,3.00,1.00,1
W,M,4.00,5.00,88.00,17740.80,3.00,5.00,Wroc³aw,0.00,26611.20,0.00,1.00,1
K,M,5.00,2.00,90.00,294840.00,5.00,8.00,Lublin,1.00,325080.00,4.00,0.00,1
W,M,5.00,4.00,90.00,27216.00,3.00,2.00,Warszawa,2.00,36288.00,2.00,0.00,1
W,M,2.00,5.00,38.00,5107.20,4.00,6.00,Lublin,0.00,7660.80,2.00,3.00,1
W,M,4.00,5.00,72.00,24192.00,5.00,1.00,Poznañ,1.00,36288.00,0.00,0.00,1
K,M,4.00,2.00,76.00,113379.84,3.00,4.00,Poznañ,2.00,144023.04,0.00,1.00,1
K,M,5.00,2.00,95.00,255360.00,5.00,5.00,Szczecin,2.00,391020.00,0.00,1.00,1
W,M,2.00,4.00,38.00,5107.20,5.00,9.00,Szczecin,1.00,10214.40,2.00,1.00,1
K,M,4.00,4.00,88.00,366643.20,5.00,2.00,£ódŸ,0.00,567705.60,2.00,1.00,1
W,M,5.00,4.00,100.00,20160.00,3.00,9.00,Warszawa,3.00,30240.00,0.00,0.00,1
K,M,5.00,3.00,95.00,306432.00,4.00,3.00,Lublin,2.00,344736.00,2.00,1.00,1
W,M,4.00,5.00,88.00,26611.20,3.00,0.00,Gdañsk,0.00,35481.60,1.00,4.00,1
W,M,4.00,1.00,72.00,2903.04,3.00,2.00,Poznañ,3.00,5806.08,2.00,0.00,1
K,M,2.00,4.00,44.00,100531.20,5.00,6.00,Szczecin,0.00,141926.40,3.00,3.00,1
W,M,5.00,5.00,110.00,46200.00,5.00,8.00,£ódŸ,4.00,92400.00,2.00,1.00,1
W,M,5.00,5.00,110.00,46200.00,5.00,3.00,Wroc³aw,0.00,92400.00,4.00,0.00,1
K,M,4.00,5.00,72.00,402554.88,4.00,4.00,Bia³ystok,3.00,616412.16,2.00,1.00,1
K,M,4.00,5.00,80.00,322560.00,3.00,4.00,Lublin,0.00,395136.00,0.00,2.00,1
K,M,4.00,3.00,80.00,138700.80,2.00,5.00,£ódŸ,2.00,145152.00,0.00,1.00,1
W,M,4.00,2.00,84.00,16934.40,5.00,6.00,Wroc³aw,3.00,22579.20,4.00,0.00,1
K,M,4.00,3.00,76.00,318689.28,5.00,10.00,Bia³ystok,0.00,358525.44,1.00,2.00,1
K,M,2.00,2.00,42.00,33868.80,3.00,7.00,Lublin,0.00,36408.96,0.00,0.00,1
K,M,3.00,4.00,54.00,277603.20,5.00,10.00,Wroc³aw,0.00,367416.00,3.00,2.00,1
K,M,5.00,2.00,90.00,185976.00,2.00,7.00,Kraków,4.00,217728.00,0.00,1.00,1
K,M,5.00,2.00,105.00,288943.20,3.00,5.00,Bia³ystok,1.00,309582.00,1.00,0.00,1
K,M,5.00,5.00,95.00,542640.00,4.00,0.00,Lublin,4.00,782040.00,3.00,3.00,1
W,M,4.00,2.00,80.00,4300.80,2.00,7.00,Kraków,1.00,6451.20,0.00,1.00,1
W,M,4.00,2.00,80.00,4300.80,2.00,2.00,Bia³ystok,2.00,6451.20,0.00,1.00,1
W,M,3.00,3.00,54.00,6531.84,4.00,10.00,Gdañsk,0.00,13063.68,2.00,0.00,1
W,M,4.00,5.00,88.00,44352.00,5.00,5.00,Kraków,2.00,59136.00,2.00,3.00,1
K,M,2.00,4.00,38.00,64350.72,2.00,2.00,Gdañsk,0.00,70479.36,1.00,2.00,1
K,M,4.00,3.00,88.00,90478.08,1.00,6.00,Kraków,3.00,98461.44,0.00,2.00,1
W,M,4.00,5.00,84.00,28224.00,5.00,9.00,Bia³ystok,2.00,42336.00,1.00,1.00,1
W,M,5.00,2.00,90.00,9072.00,3.00,0.00,£ódŸ,3.00,13608.00,2.00,1.00,1
K,M,3.00,4.00,63.00,236234.88,4.00,8.00,Gdañsk,2.00,274337.28,3.00,3.00,1
K,M,4.00,1.00,80.00,91392.00,5.00,4.00,£ódŸ,1.00,131712.00,4.00,0.00,1
W,M,4.00,4.00,76.00,4085.76,1.00,10.00,Poznañ,2.00,8171.52,0.00,2.00,1
W,M,5.00,5.00,100.00,63000.00,5.00,8.00,Bia³ystok,0.00,84000.00,3.00,3.00,1
W,M,5.00,4.00,105.00,35280.00,5.00,4.00,£ódŸ,2.00,70560.00,0.00,2.00,1
W,M,3.00,3.00,66.00,5987.52,3.00,3.00,Bia³ystok,0.00,11975.04,1.00,2.00,1
W,M,4.00,4.00,76.00,18385.92,3.00,7.00,Gdañsk,1.00,24514.56,2.00,2.00,1
W,M,5.00,5.00,90.00,37800.00,5.00,3.00,Poznañ,0.00,75600.00,4.00,0.00,1
K,M,4.00,4.00,88.00,350085.12,4.00,10.00,Poznañ,1.00,397393.92,1.00,0.00,1
W,M,3.00,1.00,57.00,4309.20,5.00,3.00,Warszawa,1.00,5745.60,0.00,0.00,1
K,M,5.00,5.00,105.00,410130.00,3.00,2.00,Szczecin,2.00,449820.00,1.00,4.00,1
K,M,4.00,3.00,84.00,330220.80,5.00,6.00,Szczecin,3.00,389491.20,1.00,2.00,1
W,M,2.00,5.00,44.00,5913.60,4.00,10.00,Kraków,0.00,11827.20,2.00,4.00,1
W,M,4.00,4.00,72.00,23224.32,4.00,2.00,£ódŸ,2.00,30965.76,2.00,3.00,1
K,M,2.00,5.00,44.00,103783.68,3.00,8.00,Bia³ystok,0.00,115315.20,1.00,4.00,1
K,M,2.00,5.00,38.00,176198.40,4.00,1.00,Gdañsk,0.00,187689.60,0.00,0.00,1
W,M,3.00,3.00,57.00,8618.40,5.00,0.00,Szczecin,0.00,12927.60,3.00,0.00,1
K,M,3.00,4.00,63.00,168412.61,3.00,7.00,Bia³ystok,0.00,178319.23,0.00,1.00,1
W,M,4.00,5.00,76.00,20428.80,4.00,10.00,Kraków,3.00,30643.20,0.00,3.00,1
K,M,5.00,2.00,110.00,171864.00,3.00,0.00,Lublin,4.00,210672.00,0.00,0.00,1
K,M,3.00,2.00,57.00,172368.00,5.00,9.00,Warszawa,0.00,258552.00,3.00,0.00,1
W,M,2.00,5.00,44.00,7392.00,5.00,10.00,Bydgoszcz,0.00,14784.00,2.00,0.00,1
K,M,5.00,5.00,95.00,598500.00,5.00,1.00,£ódŸ,1.00,817950.00,3.00,1.00,1
K,M,3.00,5.00,63.00,157172.40,2.00,3.00,Wroc³aw,0.00,171460.80,1.00,2.00,1
W,M,5.00,3.00,90.00,6804.00,1.00,10.00,Gdañsk,4.00,9072.00,0.00,2.00,1
K,M,5.00,5.00,95.00,678300.00,5.00,9.00,Szczecin,2.00,857850.00,2.00,0.00,1
K,M,4.00,1.00,76.00,131765.76,4.00,6.00,Wroc³aw,2.00,144023.04,1.00,0.00,1
W,M,4.00,5.00,72.00,14515.20,3.00,10.00,Kraków,2.00,29030.40,2.00,4.00,1
K,M,5.00,3.00,105.00,201096.00,2.00,6.00,Szczecin,1.00,216972.00,0.00,2.00,1
K,M,3.00,5.00,63.00,269892.00,5.00,10.00,£ódŸ,1.00,293706.00,3.00,0.00,1
K,M,2.00,4.00,42.00,60963.84,3.00,0.00,£ódŸ,0.00,77898.24,2.00,3.00,1
K,M,5.00,5.00,110.00,810810.00,3.00,5.00,Bia³ystok,4.00,864864.00,1.00,3.00,1
K,M,2.00,2.00,36.00,67132.80,5.00,9.00,Wroc³aw,1.00,81648.00,3.00,1.00,1
K,M,2.00,5.00,44.00,151536.00,5.00,1.00,Bydgoszcz,0.00,158928.00,0.00,3.00,1
W,M,3.00,5.00,60.00,9072.00,2.00,6.00,Warszawa,1.00,12096.00,0.00,0.00,1
K,M,2.00,3.00,42.00,57576.96,4.00,10.00,Bydgoszcz,1.00,72817.92,3.00,2.00,1
W,M,4.00,5.00,72.00,19353.60,4.00,2.00,Bia³ystok,0.00,38707.20,2.00,1.00,1
K,M,3.00,3.00,60.00,265356.00,5.00,9.00,Kraków,0.00,292572.00,3.00,1.00,1
K,M,2.00,5.00,44.00,227304.00,5.00,1.00,Wroc³aw,0.00,266112.00,2.00,2.00,1
K,M,4.00,2.00,88.00,212889.60,2.00,3.00,Warszawa,2.00,236544.00,0.00,0.00,1
W,M,4.00,3.00,76.00,9192.96,3.00,2.00,Wroc³aw,1.00,18385.92,2.00,1.00,1
K,M,3.00,3.00,54.00,146966.40,4.00,10.00,Wroc³aw,1.00,244944.00,0.00,1.00,1
K,M,4.00,4.00,88.00,468357.12,4.00,7.00,Kraków,1.00,667054.08,2.00,0.00,1
K,M,5.00,1.00,95.00,135660.00,5.00,6.00,Szczecin,4.00,147630.00,1.00,0.00,1
K,M,4.00,5.00,84.00,557706.24,4.00,0.00,Bia³ystok,1.00,675118.08,0.00,0.00,1
W,M,4.00,5.00,84.00,33868.80,4.00,3.00,Poznañ,3.00,45158.40,0.00,0.00,1
K,M,5.00,4.00,100.00,756000.00,5.00,1.00,Kraków,1.00,1184400.00,4.00,2.00,1
W,M,3.00,2.00,57.00,1149.12,1.00,10.00,Poznañ,0.00,1723.68,0.00,1.00,1
K,M,4.00,3.00,88.00,248371.20,4.00,5.00,Bydgoszcz,2.00,262563.84,2.00,1.00,1
K,M,4.00,2.00,76.00,239016.96,5.00,5.00,Bia³ystok,3.00,305410.56,2.00,0.00,1
K,M,3.00,2.00,54.00,114307.20,4.00,5.00,Kraków,2.00,160030.08,3.00,1.00,1
W,M,5.00,3.00,95.00,9576.00,2.00,4.00,Szczecin,4.00,19152.00,1.00,1.00,1
K,M,3.00,5.00,54.00,217728.00,5.00,3.00,Poznañ,0.00,319788.00,3.00,4.00,1
W,M,4.00,4.00,80.00,17203.20,4.00,2.00,Bydgoszcz,3.00,25804.80,2.00,3.00,1
K,M,4.00,5.00,72.00,261273.60,3.00,9.00,Poznañ,0.00,268531.20,0.00,2.00,1
K,M,4.00,5.00,88.00,567705.60,4.00,9.00,Wroc³aw,3.00,638668.80,2.00,4.00,1
W,M,5.00,2.00,95.00,15960.00,5.00,0.00,Szczecin,4.00,31920.00,3.00,1.00,1
K,M,4.00,2.00,72.00,268531.20,5.00,0.00,Gdañsk,0.00,348364.80,1.00,0.00,1
